"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Terrestrial","Marine","Freshwater","Aerial","Life.Habit.Method","Life.Habit.Source","Mass.g","Mass.Method","Mass.Source","Mass.Comparison","Mass.Comparison.Source","Island.Endemicity","IUCN.Status.1.2","Added.IUCN.Status.1.2","Diet.Plant","Diet.Vertebrate","Diet.Invertebrate","Diet.Method","Diet.Source","scientificName"
"Uropsilus_soricipes","Eulipotyphla","Talpidae","Uropsilus","soricipes",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",16,"Assumed isometric based on head-body length","Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)","Uropsilus_soricipes","Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)","Occurs on mainland","LC","No",0,0,100,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Uropsilus soricipes"
"Urotrichus_talpoides","Eulipotyphla","Talpidae","Urotrichus","talpoides",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",45,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs only on isolated islands","LC","No",0,0,100,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Urotrichus talpoides"
"Ursus_americanus","Carnivora","Ursidae","Ursus","americanus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",99949.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",87,0,13,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.","Ursus americanus"
"Ursus_arctos","Carnivora","Ursidae","Ursus","arctos",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",180520.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",85,9,6,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.","Ursus arctos"
"Ursus_maritimus","Carnivora","Ursidae","Ursus","maritimus",1,1,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",388750.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","VU","No",0,100,0,"Reported 000 Species","Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.","Ursus maritimus"
"Ursus_spelaeus","Carnivora","Ursidae","Ursus","spelaeus",1,0,0,0,"Imputed","PHYLACINE 1.2.1",390416.7,"Reported","Annales Zoologica Femnica 36 93-102 (2011)",NA,NA,"Occurs on mainland","EP","Yes",100,0,0,"Estimated Isotopes Species","Krajcarz, M., et al. 2016. Isotopic variability of cave bears (δ15N, δ13C) across Europe during MIS 3. Quaternary Science Reviews 131:51-72.","Ursus spelaeus"
"Ursus_thibetanus","Carnivora","Ursidae","Ursus","thibetanus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",77500,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","VU","No",70,20,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Ursus thibetanus"
"Valgipes_bucklandi","Pilosa","Mylodontidae","Valgipes","bucklandi",1,0,0,0,"Imputed","PHYLACINE 1.2.1",2e+05,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","EP","Yes",100,0,0,"Estimated Expert Species","dos Santos Pereira, I. C., et al. 2013. Record of the giant sloth Valgipes bucklandi (Lund, 1839) (Tardigrada, Scelidotheriinae) in Rio Grande do Norte state, Brazil, with notes on taphonomy and paleoecology. Journal of South American Earth Sciences 43:42-45.","Valgipes bucklandi"
"Vampyressa_melissa","Chiroptera","Phyllostomidae","Vampyressa","melissa",0,0,0,1,"Taxonomic","PHYLACINE 1.2",16.3,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","VU","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vampyressa melissa"
"Vampyressa_pusilla","Chiroptera","Phyllostomidae","Vampyressa","pusilla",0,0,0,1,"Taxonomic","PHYLACINE 1.2",8.6,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","DD","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vampyressa pusilla"
"Vampyressa_thyone","Chiroptera","Phyllostomidae","Vampyressa","thyone",0,0,0,1,"Taxonomic","PHYLACINE 1.2",8.5,"Reported","Reid FA. A field guide to the Mammals of Central America and South East Mexico (2009)",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","Vampyressa thyone"
"Vampyriscus_bidens","Chiroptera","Phyllostomidae","Vampyriscus","bidens",0,0,0,1,"Taxonomic","PHYLACINE 1.2",11.6,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vampyriscus bidens"
"Vampyriscus_brocki","Chiroptera","Phyllostomidae","Vampyriscus","brocki",0,0,0,1,"Taxonomic","PHYLACINE 1.2",10,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vampyriscus brocki"
"Vampyriscus_nymphaea","Chiroptera","Phyllostomidae","Vampyriscus","nymphaea",0,0,0,1,"Taxonomic","PHYLACINE 1.2",11.8,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vampyriscus nymphaea"
"Vampyrodes_caraccioli","Chiroptera","Phyllostomidae","Vampyrodes","caraccioli",0,0,0,1,"Taxonomic","PHYLACINE 1.2",34.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vampyrodes caraccioli"
