"year","ghf","analysis_unit","file_name"
2016,941.744571045576,"file_15_unit_3_3_28day","processed_Brazil_RodrigoMassara_LNG.csv"
2017,987.144101876676,"file_15_unit_4_1_28day","processed_Brazil_RodrigoMassara_LNG.csv"
2017,987.144101876676,"file_15_unit_4_1_56day","processed_Brazil_RodrigoMassara_LNG.csv"
2017,987.144101876676,"file_15_unit_4_2_28day","processed_Brazil_RodrigoMassara_LNG.csv"
2009,88.0840622999787,"file_150_unit_1_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2009,88.0840622999787,"file_150_unit_1_1_allday","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2014,106.854633383116,"file_150_unit_10_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2014,106.854633383116,"file_150_unit_11_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2015,108.909750373373,"file_150_unit_12_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2015,108.909750373373,"file_150_unit_12_2_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2015,108.909750373373,"file_150_unit_12_3_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2015,108.909750373373,"file_150_unit_13_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2016,126.234336106963,"file_150_unit_13_2_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2016,126.234336106963,"file_150_unit_14_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2016,126.234336106963,"file_150_unit_14_2_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2016,126.234336106963,"file_150_unit_14_3_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2010,94.3919351397482,"file_150_unit_2_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2010,94.3919351397482,"file_150_unit_2_2_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
