"scientificName","EOO"
"Hystrix brachyura",5786235.95971005
"Macaca nemestrina",1366583.93240879
"Martes flavigula",6697917.89291917
"Muntiacus muntjak",1494390.88862566
"Neofelis diardi",510006.383534572
"Paguma larvata",6308436.75027698
"Panthera tigris",704194.866848056
"Pardofelis marmorata",1388973.70158123
"Prionailurus bengalensis",9507874.06369161
"Prionodon linsang",1447867.95399651
"Sus barbatus",420621.908769921
"Trichys fasciculata",1189879.28205959
"Acinonyx jubatus",2943299.45803759
"Hyaena hyaena",23460484.5445408
"Vulpes cana",3040640.1302497
"Bos javanicus",156359.564661886
"Catopuma badia",268234.06928757
"Echinosorex gymnura",1373927.42762521
"Herpestes brachyurus",1271946.61762487
"Herpestes semitorquatus",1162104.04258875
"Hystrix crassispinis",732627.517884981
"Lariscus hosei",52688.4253056836
"Manis javanica",2319150.58119317
"Muntiacus atherodes",732628.361392928
"Mydaus javanensis",105559.279095383
"Pongo pygmaeus",226358.939036189
"Rusa unicolor",7570390.0324378
"Sundamys muelleri",1408490.36834471
"Sundasciurus hippurus",1314932.17684401
"Sundasciurus lowii",1335061.87887504
"Tragulus kanchil",2173751.02470736
"Tragulus napu",1402060.12845449
"Tupaia dorsalis",449710.802836906
"Tupaia gracilis",643734.653387568
"Tupaia tana",960284.495911401
"Viverra tangalunga",1602751.76834749
"Conepatus leuconotus",2498458.41083466
"Lynx rufus",9879513.02460523
"Mephitis macroura",1783431.71272415
"Spilogale angustifrons",777447.141130937
"Alcelaphus buselaphus",6759380.82677073
"Atilax paludinosus",14049574.2896969
"Bdeogale crassicauda",1497508.73726525
"Cephalophus natalensis",897289.120641103
"Cercopithecus mitis",2343686.72531458
"Connochaetes taurinus",3087762.80323216
"Herpestes ichneumon",14478898.0297234
"Hippotragus niger",3013917.71117052
"Kobus ellipsiprymnus",8949699.05926888
"Lepus victoriae",11320167.7091563
"Smutsia temminckii",7124374.96254026
"Otolemur crassicaudatus",4845511.4337922
"Ourebia ourebi",7496161.69821027
"Papio cynocephalus",1941964.97113787
"Potamochoerus larvatus",5881488.57209815
"Redunca arundinum",4763569.36730876
"Tragelaphus oryx",6776785.86443455
"Tragelaphus angasii",197902.695034541
"Arctogalidia trivirgata",2539704.35876021
"Arctonyx collaris",1373282.68173592
"Atherurus macrourus",2672201.97098381
"Bos gaurus",1370086.78058982
"Elephas maximus",620727.365106685
"Herpestes urva",70447.5533195704
"Macaca arctoides",1402315.30831523
"Macaca leonina",1509812.25523759
"Melogale personata",1971107.05453476
"Muntiacus feae",86931.7758860289
"Naemorhedus griseus",2399909.37542313
"Neofelis nebulosa",1902175.96174859
"Paradoxurus hermaphroditus",7637778.04910573
"Ursus thibetanus",3638601.80036357
"Viverra zibetha",2863920.81552607
"Viverricula indica",8473961.84623551
"Capricornis rubidus",86336.3091481597
