"species","hyp.ref","prob"
"Alces alces","Cathemeral",0.0462350979647867
"Alces alces","Cathemeral",0.983742306465892
"Alces alces","Cathemeral",0.996492278490878
"Alces alces","Cathemeral",0.921582485595207
"Alces alces","Cathemeral",0.0234505601084748
"Alces alces","Cathemeral",0.190055600812058
"Alces alces","Cathemeral",0.999242585020972
"Alces alces","Cathemeral",0.978257765599256
"Alces alces","Cathemeral",0.999279365429085
"Alces alces","Cathemeral",0.906053541632502
"Alces alces","Cathemeral",0.019876688855114
"Alces alces","Cathemeral",0.975079681016882
"Alces alces","Cathemeral",0.911603585000567
"Alces alces","Cathemeral",0.975790521961168
"Allochrocebus lhoesti","Diurnal",1
"Allochrocebus lhoesti","Diurnal",0.999994186775079
"Allochrocebus lhoesti","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999622680889865
"Ammospermophilus harrisii","Diurnal",0.991046382088294
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.994690100609745
"Ammospermophilus harrisii","Diurnal",0.99912701216199
"Ammospermophilus harrisii","Diurnal",0.999840086893426
"Ammospermophilus harrisii","Diurnal",0.999216873460291
"Ammospermophilus harrisii","Diurnal",0.99999850514557
"Ammospermophilus harrisii","Diurnal",0.988254872121621
"Ammospermophilus harrisii","Diurnal",0.999998531505716
"Ammospermophilus harrisii","Diurnal",0.986772748597643
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999942027583205
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.983051780936792
"Ammospermophilus harrisii","Diurnal",0.999998451936531
"Ammospermophilus leucurus","Diurnal",0.999959968465343
"Ammospermophilus leucurus","Diurnal",1
"Ammospermophilus leucurus","Diurnal",0.999774947184073
"Ammospermophilus leucurus","Diurnal",0.999986226062829
"Ammospermophilus leucurus","Diurnal",0.996600704756284
"Antechinus agilis","Nocturnal",0.982258226449877
"Antechinus agilis","Nocturnal",0.706717340001288
"Antechinus agilis","Nocturnal",0.952201465873552
"Antechinus minimus","Crepuscular",0
"Antechinus swainsonii","Cathemeral",1
"Antechinus swainsonii","Cathemeral",0.999265322937021
"Antidorcas marsupialis","Cathemeral",0.0169240335299977
"Antidorcas marsupialis","Cathemeral",0.315517121871963
"Antidorcas marsupialis","Cathemeral",0.739404585311139
"Antidorcas marsupialis","Cathemeral",0.0298425379871191
"Antidorcas marsupialis","Cathemeral",0.484016279227415
"Antidorcas marsupialis","Cathemeral",0.466941464800171
"Antidorcas marsupialis","Cathemeral",0.477736302846082
"Antidorcas marsupialis","Cathemeral",0.0340318691132652
"Antidorcas marsupialis","Cathemeral",0.00616562399326387
"Antidorcas marsupialis","Cathemeral",0.364506300330579
"Antidorcas marsupialis","Cathemeral",0.0138262472095234
"Antidorcas marsupialis","Cathemeral",0.0775911186726749
"Antidorcas marsupialis","Cathemeral",0.0695899332128132
"Antidorcas marsupialis","Cathemeral",0.188943092020287
"Antidorcas marsupialis","Cathemeral",0.97376895131961
"Antidorcas marsupialis","Cathemeral",0.999220707975996
"Antilocapra americana","Cathemeral",0.280476359684607
"Antilocapra americana","Cathemeral",0.00876841317394833
"Antilocapra americana","Cathemeral",0.936247644112813
"Antilocapra americana","Cathemeral",0.79820237012621
"Antilocapra americana","Cathemeral",0.0584862472851184
"Antilocapra americana","Cathemeral",0.0218516887064908
"Antilocapra americana","Cathemeral",0.231186083166206
"Arctictis binturong","Cathemeral",0.972760293992923
"Arctictis binturong","Cathemeral",0.2895038908844
"Arctictis binturong","Cathemeral",0.580680401501412
"Arctictis binturong","Cathemeral",0.959095825933878
"Arctictis binturong","Cathemeral",0.100121976954696
"Arctictis binturong","Cathemeral",0.693011029017115
"Arctictis binturong","Cathemeral",0.0606200363441469
"Arctictis binturong","Cathemeral",0.980123345617676
"Arctictis binturong","Cathemeral",0.976299286352691
"Arctonyx collaris","Cathemeral",0.326717687587467
"Arctonyx collaris","Cathemeral",0.693067739760601
"Arctonyx collaris","Cathemeral",0.996426054382989
"Atelocynus microtis","Diurnal",0.899489965207517
"Atelocynus microtis","Diurnal",0.979491860318514
"Atherurus africanus","Nocturnal",0.986922683598027
"Atherurus africanus","Nocturnal",0.861372627929125
"Atherurus africanus","Nocturnal",0.769587212019995
"Atherurus africanus","Nocturnal",0.984383668512807
"Atherurus africanus","Nocturnal",0.719266591932126
"Atherurus africanus","Nocturnal",0.351670006393936
"Atherurus africanus","Nocturnal",0.996290668398177
"Atherurus africanus","Nocturnal",0.991660241001656
"Atherurus africanus","Nocturnal",0.988650193727426
"Atherurus africanus","Nocturnal",0.947358492349847
"Atherurus africanus","Nocturnal",0.996983010110117
"Atherurus africanus","Nocturnal",0.98996587045732
"Atherurus africanus","Nocturnal",0.999171570996879
"Atherurus africanus","Nocturnal",0.999272068174417
"Atherurus africanus","Nocturnal",0.998772831273226
"Atherurus africanus","Nocturnal",0.994088434969708
"Atherurus africanus","Nocturnal",0.957394111257074
"Atherurus africanus","Nocturnal",0.870791992719922
"Atherurus africanus","Nocturnal",0.999420878125782
"Atherurus africanus","Nocturnal",0.994930345737337
"Atherurus africanus","Nocturnal",0.970100551011779
"Atherurus africanus","Nocturnal",0.976034240296719
"Atherurus africanus","Nocturnal",0.988945344118832
"Atherurus macrourus","Nocturnal",0.814051616029597
"Atherurus macrourus","Nocturnal",0.992532185355407
"Atherurus macrourus","Nocturnal",0
"Atherurus macrourus","Nocturnal",0.986364808936294
"Atherurus macrourus","Nocturnal",0.994393349527489
"Atherurus macrourus","Nocturnal",0.0252189581257503
"Atherurus macrourus","Nocturnal",0.594189109694881
"Atherurus macrourus","Nocturnal",0.994306084077604
"Atherurus macrourus","Nocturnal",1
"Atherurus macrourus","Nocturnal",0.62814831344312
"Atherurus macrourus","Nocturnal",0.945819920545113
"Atherurus macrourus","Nocturnal",0.983603767218585
"Atherurus macrourus","Nocturnal",0.983052902532274
"Atherurus macrourus","Nocturnal",0.669748349163364
"Atherurus macrourus","Nocturnal",0.987604855063095
"Atherurus macrourus","Nocturnal",0.99069466937452
"Atherurus macrourus","Nocturnal",0.906753514091084
"Atherurus macrourus","Nocturnal",0.995581117531691
"Atherurus macrourus","Nocturnal",0.983490105904453
"Atherurus macrourus","Nocturnal",0.990922769358438
"Atherurus macrourus","Nocturnal",0.970135784311192
"Atherurus macrourus","Nocturnal",0.892375205145517
"Atherurus macrourus","Nocturnal",0.984357762363715
"Atherurus macrourus","Nocturnal",0.97011525058754
"Atherurus macrourus","Nocturnal",0.945769067911412
"Atherurus macrourus","Nocturnal",0.981941454271755
"Atherurus macrourus","Nocturnal",0.990237050415282
"Atherurus macrourus","Nocturnal",0.986306994620703
"Atherurus macrourus","Nocturnal",0.997339467368197
"Atherurus macrourus","Nocturnal",0.934698372471666
"Atherurus macrourus","Nocturnal",0
"Atherurus macrourus","Nocturnal",0.990871015953127
"Atherurus macrourus","Nocturnal",0.967041089101092
"Atherurus macrourus","Nocturnal",0.999572813293686
"Atherurus macrourus","Nocturnal",0.885260228448593
